  Building Type,Area,Region,Outlet Name,Date,Tabs,No Of Items,No Of Bills,Sale,Discount,Packaging Charge [CART - SWIGGY],Restaurant Charge,Smile Amount Charge,Delivery Charge,Platform Fee Charge,Restaurant Packaging Charges,Total Charges,Net Sale,GST @5%,GST @18%,GST @12%,ECom_GST@5%,Total Tax,Total Amount,Round Off,Gross Amount,Covers,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"DINE IN",171.00,47,23439.75,0.00,0,0,0,0,0,0,0.00,23439.75,1144.89,77.48,13.39,0,1235.79,24675.54,8.46,24684.00,45.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"DELIVERY",20.00,9,3856.14,733.50,10.00,0,0,0,0,0,10.00,3122.64,0,0,0,156.63,156.64,3289.28,0.72,3290.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-01,"TAKEAWAY",23.00,9,3178.47,740.00,0,10.00,0,0,0,0,10.00,2438.47,113.31,37.52,0,0,150.83,2599.30,1.70,2601.00,6.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"DELIVERY",47.00,19,10785.60,4340.88,0,0,0,0,0,0,0.00,6444.73,0,0,0,322.25,322.26,6766.99,4.01,6771.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"TAKEAWAY",62.00,23,11485.81,613.00,0,5.00,0,0,0,0,5.00,10872.81,424.38,391.80,27.21,0,843.40,11721.21,3.79,11725.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-02,"DINE IN",250.00,51,29632.92,408.00,0,0,0,0,0,0,0.00,29224.92,1386.03,270.77,0,0,1656.84,30881.76,8.24,30890.00,60.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"DINE IN",164.00,47,25307.21,217.00,0,0,0,0,0,0,0.00,25090.21,1243.35,0,26.78,0,1270.17,26360.38,8.62,26369.00,53.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"TAKEAWAY",57.00,19,8744.00,100.00,0,5.00,0,0,0,0,5.00,8644.00,426.49,23.79,0,0,450.31,9099.31,5.69,9105.00,19.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-03,"DELIVERY",30.00,12,6543.10,1910.00,10.00,0,0,0,0,0,10.00,4633.10,0,0,0,232.16,232.16,4875.26,1.74,4877.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"TAKEAWAY",80.00,24,13233.18,616.00,0,15.00,0,0,0,0,15.00,12617.18,578.66,177.56,13.39,0,769.62,13401.80,3.20,13405.00,23.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"DINE IN",204.00,58,27360.23,0.00,0,0,0,0,0,0,0.00,27360.23,1321.21,148.43,13.39,0,1483.05,28843.28,14.72,28858.00,69.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-04,"DELIVERY",38.00,15,8464.00,3009.57,30.00,0,0,0,0,0,30.00,5454.43,0,20.82,0,268.44,289.26,5773.69,2.31,5776.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-05,"TAKEAWAY",96.00,35,16781.28,1082.00,0,35.00,0,0,0,0,35.00,15699.28,663.09,421.31,26.79,0,1111.22,16845.50,5.50,16851.00,67.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-05,"DINE IN",308.00,84,42569.00,1189.95,0,0,0,0,0,0,0.00,41379.05,1983.46,283.95,15.88,0,2283.32,43662.37,18.63,43681.00,82.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-05,"DELIVERY",39.00,16,7486.25,2839.61,10.00,0,0,0,0,0,10.00,4646.64,0,0,0,232.84,232.85,4889.49,0.51,4890.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-06,"DELIVERY",32.00,14,6610.00,1752.25,0,0,0,0,0,0,0.00,4857.75,0,0,0,242.89,242.90,5100.65,1.35,5102.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-06,"TAKEAWAY",48.00,18,8500.88,718.00,0,30.00,5.00,0,0,0,35.00,7782.88,394.56,0,0,0,394.57,8212.45,4.55,8217.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-06,"DINE IN",286.00,71,41512.35,24.00,0,0,0,0,0,0,0.00,41488.35,2054.55,71.54,0,0,2126.15,43614.50,17.50,43632.00,83.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-07,"DINE IN",247.00,60,33093.77,9022.98,0,0,0,0,0,0,0.00,24070.79,1164.62,120.05,13.39,0,1298.08,25368.87,14.13,25383.00,49.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-07,"TAKEAWAY",71.00,24,9652.12,171.00,0,35.00,0,0,0,0,35.00,9481.12,437.61,153.91,0,0,591.53,10107.65,3.35,10111.00,21.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-07,"DELIVERY",20.00,10,3630.36,790.00,20.00,0,0,0,0,0,20.00,2840.36,0,0,13.39,137.44,150.83,3011.19,0.81,3012.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-08,"TAKEAWAY",90.00,32,12807.86,192.00,0,20.00,0,0,0,0,20.00,12615.86,592.92,128.59,13.82,0,735.33,13371.19,7.81,13379.00,29.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-08,"DELIVERY",60.00,18,9037.50,2245.00,0,0,0,0,0,0,0.00,6792.50,0,0,0,339.65,339.67,7132.17,2.83,7135.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-08,"DINE IN",120.00,39,20332.36,0.00,0,0,0,0,0,0,0.00,20332.36,995.24,56.89,13.39,0,1065.52,21397.88,11.12,21409.00,47.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-09,"TAKEAWAY",47.00,14,6504.25,327.00,0,0.00,0,0,0,0,0.00,6177.25,253.65,198.77,0,0,452.42,6629.67,3.33,6633.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-09,"DINE IN",193.00,56,26116.58,135.00,0,0,0,0,0,0,0.00,25981.58,1280.02,48.51,13.39,0,1341.93,27323.51,11.49,27335.00,208.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-09,"DELIVERY",27.00,10,3638.75,613.25,10.00,0,0,0,0,0,10.00,3025.50,0,0,0,151.78,151.80,3187.30,2.70,3190.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-10,"DINE IN",310.00,83,45317.13,5492.69,0,0,0,0,0,0,0.00,39824.44,1936.10,150.25,32.14,0,2118.56,41943.00,16.00,41959.00,88.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-10,"TAKEAWAY",47.00,16,6180.58,495.00,0,20.00,0,0,0,0,20.00,5685.58,275.21,45.61,0,0,320.83,6026.41,1.59,6028.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-10,"DELIVERY",16.00,7,2898.75,845.00,0,0,0,0,0,0,0.00,2053.75,0,0,4.35,100.88,105.23,2158.98,2.02,2161.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-11,"TAKEAWAY",71.00,19,10751.41,200.00,0,10.00,0,0,0,0,10.00,10551.41,493.97,67.11,40.17,0,601.28,11162.69,3.31,11166.00,58.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-11,"DELIVERY",38.00,15,6892.14,1355.37,30.00,0,0,0,0,0,30.00,5536.78,0,117.61,0,245.67,363.28,5930.06,2.94,5933.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-11,"DINE IN",251.00,71,38576.28,7311.25,0,0,0,0,0,0,0.00,31265.03,1502.87,189.30,18.75,0,1710.93,32975.96,15.04,32991.00,72.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-11,"ONLINE",2.00,1,270.00,62.00,0,20.00,0,30.00,5.00,0,55.00,208.00,20.30,0,0,0,20.30,283.30,-0.30,283.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-12,"DINE IN",238.00,68,34296.13,2129.19,0,0,0,0,0,0,0.00,32166.94,1565.06,135.76,13.39,0,1714.25,33881.19,12.81,33894.00,62.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-12,"DELIVERY",51.00,15,7920.85,2107.36,50.00,0,0,0,0,0,50.00,5813.50,0,42.22,0,281.45,323.68,6187.18,-0.18,6187.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-12,"TAKEAWAY",117.00,29,17090.85,472.00,0,5.00,0,0,0,0,5.00,16618.85,801.11,85.73,16.61,0,903.49,17527.34,5.66,17533.00,69.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-13,"DINE IN",275.00,79,40035.86,327.00,0,0,0,0,0,0,0.00,39708.86,1965.58,71.54,0,0,2037.14,41746.00,19.00,41765.00,82.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-13,"DELIVERY",26.00,12,3719.79,1332.00,50.00,0,0,0,0,0,50.00,2387.79,0,39.12,0,111.02,150.15,2587.94,1.06,2589.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-13,"TAKEAWAY",142.00,41,21846.42,193.00,0,15.00,0,0,0,0,15.00,21653.42,1059.36,93.66,0,0,1153.04,22821.46,9.54,22831.00,42.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-14,"TAKEAWAY",38.00,11,5711.57,82.00,0,5.00,0,0,0,0,5.00,5629.57,275.17,25.93,0,0,301.11,5935.68,2.32,5938.00,9.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-14,"DINE IN",200.00,53,26003.65,167.00,0,0,0,0,0,0,0.00,25836.65,1280.67,0,26.78,0,1307.50,27144.15,9.85,27154.00,53.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-14,"DELIVERY",39.00,15,7022.50,1540.97,40.00,0,0,0,0,0,40.00,5481.53,0,0,0,276.07,276.08,5797.61,2.39,5800.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-15,"DINE IN",188.00,51,30191.85,564.00,0,0,0,0,0,0,0.00,29627.85,1475.68,20.59,0,0,1496.27,31124.12,12.88,31137.00,63.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-15,"TAKEAWAY",91.00,28,15147.58,410.00,0,15.00,0,0,0,0,15.00,14737.58,687.13,168.71,13.39,0,869.26,15621.84,6.16,15628.00,25.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-15,"DELIVERY",35.00,15,4915.66,1148.00,70.00,0,0,0,0,0,70.00,3767.66,0,18.44,0,186.77,205.21,4042.87,3.13,4046.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-16,"TAKEAWAY",79.00,24,12503.55,546.00,0,10.00,0,0,0,0,10.00,11957.55,592.05,27.46,0,0,619.53,12587.08,5.92,12593.00,27.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-16,"DELIVERY",41.00,16,6477.95,1854.99,60.00,0,0,0,0,0,60.00,4622.96,0,33.86,0,224.74,258.60,4941.56,2.44,4944.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-16,"DINE IN",148.00,44,20470.44,319.00,0,0,0,0,0,0,0.00,20151.44,993.43,50.95,0,0,1044.40,21195.84,9.16,21205.00,104.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-17,"TAKEAWAY",65.00,18,9260.60,168.00,0,15.00,0,0,0,0,15.00,9092.60,444.63,45.74,0,0,490.39,9597.99,3.01,9601.00,16.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-17,"DINE IN",168.00,50,26471.92,345.85,0,0,0,0,0,0,0.00,26126.07,1265.53,146.79,0,0,1412.33,27538.40,11.60,27550.00,54.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-17,"DELIVERY",57.00,18,8672.12,2422.00,80.00,0,0,0,0,0,80.00,6250.12,0,148.88,0,275.16,424.04,6754.16,1.84,6756.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-18,"TAKEAWAY",51.00,18,7753.40,634.50,0,15.00,0,0,0,0,15.00,7118.90,353.06,0,13.39,0,366.46,7500.36,2.64,7503.00,15.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-18,"DELIVERY",40.00,15,6790.89,2117.74,90.00,0,0,0,0,0,90.00,4673.15,0,99.61,0,210.50,310.11,5073.26,0.74,5074.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-18,"DINE IN",242.00,68,32920.11,656.00,0,0,0,0,0,0,0.00,32264.11,1555.73,109.23,65.14,0,1730.12,33994.23,16.77,34011.00,65.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-19,"DINE IN",222.00,69,33180.41,572.00,0,0,0,0,0,0,0.00,32608.41,1580.20,180.82,0,0,1761.06,34369.47,10.53,34380.00,86.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-19,"DELIVERY",27.00,13,5445.00,1578.99,60.00,0,0,0,0,0,60.00,3866.01,0,0,0,196.31,196.31,4122.32,0.68,4123.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-19,"TAKEAWAY",60.00,20,8825.00,165.00,0,10.00,0,0,0,0,10.00,8660.00,434.79,0,0,0,434.82,9104.82,5.18,9110.00,30.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-20,"DINE IN",303.00,81,46029.38,761.55,0,0,0,0,0,0,0.00,45267.83,2168.59,326.80,9.68,0,2505.10,47772.93,24.07,47797.00,99.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-20,"DELIVERY",46.00,20,9442.50,3404.00,60.00,0,0,0,0,0,60.00,6038.50,0,0,0,304.93,304.93,6403.43,1.57,6405.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-20,"TAKEAWAY",65.00,20,10196.20,412.00,0,10.00,0,0,0,0,10.00,9784.20,491.01,0,0,0,491.02,10285.22,5.78,10291.00,22.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-21,"DELIVERY",38.00,15,5858.71,1505.00,70.00,0,0,0,0,0,70.00,4353.71,0,18.15,0,216.14,234.30,4658.01,0.99,4659.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-21,"TAKEAWAY",45.00,15,5906.13,226.00,0,15.00,0,0,0,0,15.00,5680.13,286.71,0,0,0,286.71,5981.84,2.16,5984.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-21,"DINE IN",154.00,46,20711.92,321.00,0,0,0,0,0,0,0.00,20390.92,1008.40,0,26.79,0,1035.20,21426.12,11.88,21438.00,49.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-22,"DELIVERY",42.00,17,6315.00,1649.25,70.00,0,0,0,0,0,70.00,4665.75,0,0,0,236.79,236.80,4972.55,-0.55,4972.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-22,"TAKEAWAY",53.00,22,8888.94,485.00,0,10.00,0,0,0,0,10.00,8403.94,408.61,0,32.14,0,440.77,8854.71,5.29,8860.00,20.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-22,"DINE IN",152.00,47,21596.57,875.00,0,0,0,0,0,0,0.00,20721.57,1008.72,85.73,8.51,0,1102.98,21824.55,10.45,21835.00,60.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-23,"DELIVERY",62.00,24,10820.10,3028.23,110.00,0,0,0,0,0,110.00,7791.87,0,29.99,0,386.76,416.75,8318.62,0.38,8319.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-23,"TAKEAWAY",52.00,18,7434.45,239.00,0,15.00,0,0,0,0,15.00,7195.45,341.63,75.05,0,0,416.69,7627.14,5.86,7633.00,16.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-23,"DINE IN",169.00,49,23359.23,87.00,0,0,0,0,0,0,0.00,23272.23,1163.62,0,0,0,1163.65,24435.88,11.12,24447.00,53.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-24,"DINE IN",207.00,63,23415.60,289.00,0,0,0,0,0,0,0.00,23126.60,1122.79,100.64,13.39,0,1236.85,24363.45,13.55,24377.00,62.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-24,"TAKEAWAY",48.00,15,6842.44,381.00,0,0,0,0,0,0,0.00,6461.44,315.73,0,17.62,0,333.35,6794.79,4.21,6799.00,17.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-24,"DELIVERY",33.00,11,4750.00,2161.38,80.00,0,0,0,0,0,80.00,2588.63,0,0,0,133.43,133.44,2802.07,-0.07,2802.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-25,"DELIVERY",45.00,19,9087.50,2777.50,80.00,0,0,0,0,0,80.00,6310.00,0,0,0,319.50,319.50,6709.50,2.50,6712.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-25,"DINE IN",159.00,54,29989.76,881.00,0,0,0,0,0,0,0.00,29108.76,1320.78,468.46,10.87,0,1800.11,30908.87,14.13,30923.00,60.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-25,"TAKEAWAY",102.00,25,19304.68,2185.92,0,5.00,0,0,0,0,5.00,17118.76,564.02,879.49,116.41,0,1559.93,18683.69,5.31,18689.00,26.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-26,"DELIVERY",49.00,19,8210.00,2402.25,90.00,0,0,0,0,0,90.00,5807.75,0,0,0,294.89,294.90,6192.65,0.35,6193.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-26,"TAKEAWAY",87.00,26,12620.49,333.00,0,10.00,0,0,0,0,10.00,12287.49,602.64,20.59,18.75,0,641.99,12939.48,7.52,12947.00,29.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-26,"DINE IN",223.00,70,35249.53,829.00,0,0,0,0,0,0,0.00,34420.53,1704.55,20.59,25.85,0,1751.03,36171.56,19.44,36191.00,86.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-27,"DINE IN",279.00,75,42215.01,1763.00,0,0,0,0,0,0,0.00,40452.01,2016.88,20.59,0,0,2037.51,42489.52,21.48,42511.00,74.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-27,"DELIVERY",31.00,15,5565.56,1258.99,80.00,0,0,0,0,0,80.00,4306.57,0,18.15,13.39,208.71,240.25,4626.82,1.18,4628.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-27,"TAKEAWAY",113.00,36,17932.74,1059.00,0,30.00,0,0,0,0,30.00,16873.74,849.13,0,0,0,849.14,17752.88,7.12,17760.00,33.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-28,"TAKEAWAY",34.00,13,5863.77,342.00,0,15.00,0,0,0,0,15.00,5521.77,272.48,22.73,0,0,295.22,5831.99,1.01,5833.00,12.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-28,"DINE IN",142.00,54,21263.66,890.00,0,0,0,0,0,0,0.00,20373.66,967.41,111.47,48.75,0,1127.66,21501.32,13.68,21515.00,70.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-28,"DELIVERY",41.00,12,5004.70,1727.24,90.00,0,0,0,0,0,90.00,3277.46,0,0,0,168.39,168.39,3535.85,0.15,3536.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-29,"DELIVERY",37.00,15,6858.35,2562.98,90.00,0,0,0,0,0,90.00,4295.37,0,11.69,0,216.02,227.71,4613.08,-0.08,4613.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-29,"DINE IN",135.00,37,17483.53,19.00,0,0,0,0,0,0,0.00,17464.53,862.61,18.15,13.39,0,894.16,18358.69,7.31,18366.00,44.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-29,"TAKEAWAY",28.00,12,3965.00,23.00,0,0,0,0,0,0,0.00,3942.00,197.10,0,0,0,197.11,4139.11,3.89,4143.00,13.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-30,"DELIVERY",30.00,9,4756.25,2116.50,70.00,0,0,0,0,0,70.00,2639.75,0,0,0,135.50,135.50,2845.25,-1.25,2844.00,0.00,
"-","-","North","Coffee Island Beyond GK II",2025-07-30,"TAKEAWAY",38.00,12,5923.40,146.00,0,5.00,0,0,0,0,5.00,5777.40,260.29,106.13,0,0,366.42,6148.82,1.18,6150.00,14.00,
