Super category,Category,Item name,Section,
Cold Beverages,Refresh,Iced Peach Paradise Green Tea-Med,BEVERAGES,
Desserts,Desserts,New York Cheesecake,DESSERT,
Desserts,Desserts,Berry & Honey Yogurt Jar,DESSERT,
Cold Beverages,Iced Chocolate,Salted Caramel Iced Chocolate-Med,BEVERAGES,
Beans & Powder,Instant Coffee,Pack Of 30 Sachets Of Instant Coffee,RETAIL,
Desserts,Gelato,Dark Chocolate SSC Single Scoop,GELATO,
Beans & Powder,Instant Coffee,Assorted 30 Sachet Box Of Flavoured Instant Coffee,RETAIL,
Cold Beverages,Refresh,Iced Peach Paradise Green Tea-Lrg,BEVERAGES,
Desserts,Gelato,White Chocolate Baileys Singal Scoop,FOOD,
Hot Beverages,Hot Brews,Coffeeccino-Med,BEVERAGES,
Cold Beverages,Milk Shake,Delivery Charges,BEVERAGES,
Cold Beverages,Milk Shake,Packaging charge,BEVERAGES,
Cold Beverages,Iced Chocolate,Salted Caramel Iced Chocolate-Lrg,BEVERAGES,
Hot Beverages,Hot Brews,Mocha Cappuccino-Med,BEVERAGES,
Ready To Drink,Cold Pressed Juice,Valencia Orange Juice,BEVERAGES,
Combos,Veg Combo,Veg Toastie With Hot Machiato,COMBO,
Merch,Water Bottle,Island Cares - Bamboo Bottle,BEVERAGES,
Hot Beverages,Hot Tea,Butterfly Pea With Lemon Grass Tea,BEVERAGES,
Ready To Drink,Cold Pressed Juice,Apple Beetroot Carrot Juice,BEVERAGES,
Merch,Hoodie,Islander Vibes Hoodie (XXXL),RETAIL,
Merch,Unisex T-shirt,Unisex T-Shirt (Blue) Small,RETAIL,
Desserts,Desserts,Chocolate Truffle Pastry,FOOD,
Cold Beverages,Island Special-Cold,Freddo Cappuccino Rich Cream -Lrg,BEVERAGES,
Test Hot Beverages,Test Hot Brews,Cappuccino test,BEVERAGES,
Merch,Men's T-Shirt CI Logo,Unisex T-Shirt CI Logo (White),RETAIL,
Merch,Men's T-Shirt CI Logo,Unisex T-Shirt CI Logo (Blue),RETAIL,
Cold Beverages,Special Brews,Prebiotic Fizz,BEVERAGES,
Hot Beverages,Hot Brews,Coffeeccino-reg,BEVERAGES,
Hot Beverages,Hot Brews,Lungo Reg,BEVERAGES,
Cold Beverages,Milk Shake,Regular Milk 95L@0,BEVERAGES,
Hot Beverages,Hot Chocolate,Dreamy Salted Caramel Hot Chocolate-Med,BEVERAGES,
Hot Beverages,Hot Chocolate,Dreamy Salted Caramel Hot Chocolate-Reg,BEVERAGES,
Merch,Hoodie,Islander Vibes Hoodie (Large),RETAIL,
Main Course,Pasta,Three-Cheese Mac - Veg,FOOD,
Small Plates,Toasties,Akuri Toast,FOOD,
Main Course,Pasta,Spaghetti Aglio Olio - Chicken,FOOD,
Cold Beverages,Smoothie,Alphanso Mango Smoothies,BEVERAGES,
Main Course,Pasta,Spaghetti Aglio Olio - Veg,FOOD,
Cold Beverages,Smoothie,Berry Blast Smoothies,BEVERAGES,
Cold Beverages,Mojito,Fresh Mint,BEVERAGES,
Desserts,Desserts,New York–Style Cheesecake - Berry,FOOD,
Small Plates,Sandwich,Italian Caprese,FOOD,
Small Plates,Sandwich,Chilli Cheese Mushroom Melt,FOOD,
Main Course,Rice Bowl,Mexican Rice Bowl - Paneer,FOOD,
Main Course,Pasta,Italian Arrabbiata Penne - Veg,FOOD,
Cold Beverages,Mojito,Orange Spark,BEVERAGES,
Small Plates,Toasties,Islander Avo Broc Toast,FOOD,
Food,Sides,Cheesy Garlic Bread,FOOD,
Food,Sides,Korean Spicy Fries,FOOD,
Desserts,Desserts,Mascarpone Tiramisu,FOOD,
Main Course,Rice Bowl,Asian Hot Garlic Rice Bowl - Paneer,FOOD,
Food,All Day Breakfast,Islander Eggs - Your Way (Omelette),FOOD,
Desserts,Desserts,The Walnut Date Teacake,FOOD,
Food,All Day Breakfast,The Islander Veg Breakfast Plate,FOOD,
Main Course,Rice Bowl,Mexican Rice Bowl - Chicken,FOOD,
Food,Sides,Truffle & Parmesan Fries,FOOD,
Desserts,Desserts,New York–Style Cheesecake - Nutella,FOOD,
Small Plates,Sandwich,Chilli Cheese Brioche Melt,FOOD,
Desserts,Desserts,Almond Pistachio Croissant,FOOD,
Small Plates,Toasties,Islander Mexi-Bean Toast,FOOD,
Main Course,Pizza,Smoky Chipotle Chicken Pide,FOOD,
Food,All Day Breakfast,Islander Masala Omelette,FOOD,
Desserts,Desserts,Chocolate Fudge Brownie,FOOD,
Food,Sides,Loaded Nachos - Veg,FOOD,
Food,All Day Breakfast,Decedant French Toast - Berry,FOOD,
Food,Sides,Classic Fries,FOOD,
Food,Sides,Café Nacho Trio,FOOD,
Main Course,Pasta,Italian Arrabbiata Penne - Chicken,FOOD,
Sides,Sides,Cheesy Garlic Bread,FOOD,
All Day Breakfast,Toasties,Islander Avo Broc Toast,FOOD,
All Day Breakfast,Toasties,Akuri Toast,FOOD,
Small Plates,Sandwich,Paprika Chicken Melt,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes - Nutella,COMBO,
Main Course,Sandwich,Ham & Cheese Brioche Melt,FOOD,
Small Plates,Toasties,Islander Avo Broc Egg Toast,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Omelette),COMBO,
Main Course,Sandwich,Chilli Cheese Mushroom Melt,FOOD,
Main Course,Sandwich,Pomodoro Meatball Melt,FOOD,
Sides,Sides,Loaded Nachos - Veg,FOOD,
Main Course,Sandwich,Chilli Cheese Brioche Melt,FOOD,
Main Course,Pasta,Three-Cheese Mac - Chicken,FOOD,
Sides,Sides,Cheesy Fries,FOOD,
Main Course,Sandwich,Italian Caprese,FOOD,
Sides,Sides,Truffle & Parmesan Fries,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes - Berry,COMBO,
Cold Beverages,Island Special-Cold,Iced Vietnamese Shakerato,BEVERAGES,
Desserts,Desserts,French Pain Au Chocolat,FOOD,
Sides,Sides,Korean Spicy Fries,FOOD,
All Day Breakfast,All Day Breakfast,Decadant French Toast - Nutella,COMBO,
All Day Breakfast,All Day Breakfast,Decadant French Toast - Classic Maple,COMBO,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Fried Eggs),COMBO,
Main Course,Sandwich,Paprika Chicken Melt,FOOD,
All Day Breakfast,All Day Breakfast,Islander Masala Omelette,COMBO,
Sides,Sides,Loaded Nachos - Chicken,FOOD,
Cold Beverages,Mojito,Zesty Mango,BEVERAGES,
All Day Breakfast,All Day Breakfast,The Islander Veg Breakfast Plate,COMBO,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes - Classic Maple,COMBO,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Boiled Eggs),COMBO,
Cold Beverages,Smoothie,Forest Berry Iced smoothie,BEVERAGES,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Paneer & Avocado,COMBO,
Cold Beverages,Smoothie,Avocado Smoothies,BEVERAGES,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Chicken,COMBO,
Hot Beverages,Hot Brews,Cortado,BEVERAGES,
All Day Breakfast,Toasties,Islander Mex-Bean Toast,FOOD,
Sides,Sides,Café Nacho Trio,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Scrambled),COMBO,
Cold Beverages,Mojito,Dark Berry,BEVERAGES,
All Day Breakfast,All Day Breakfast,Decadant French Toast - Berry,COMBO,
Sides,Sides,Classic Fries,FOOD,
Main Course,Pizza,Mediterranean Bocconcini Pide,FOOD,
Main Course,Sandwich,Roasted Tomato & Bocconcini Croissant(!),FOOD,
Hot Beverages,Hot Brews,Macchiato,BEVERAGES,
Emp_Bev,Emp_Bev,Gelato Affogato (emp),EMP MEAL,
Main Course,Pizza,Chicken Jalapeño Melt Flatbread,FOOD,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Egg,COMBO,
Sides,Sides,The Hummus & Pita Plate,FOOD,
All Day Breakfast,All Day Breakfast,Decedant French Toast - Nutella,COMBO,
Main Course,Pizza,Basil Pesto Veggie Flatbread,FOOD,
Desserts,Desserts,Opera Slice,FOOD,
Desserts,Desserts,New York–Style Cheesecake - Classic Maple,FOOD,
Main Course,Pizza,Italian Margherita Flatbread,FOOD,
All Day Breakfast,All Day Breakfast,Decedant French Toast - Berry,COMBO,
All Day Breakfast,Toasties,Islander Avo Broc Egg Toast,FOOD,
Snacks,Ready to Munch,Hazelnut Chocolate Shots,RETAIL,
Snacks,Ready to Munch,The Ultimate Trail Mix,RETAIL,
Main Course,Sandwiches,Chilli Cheese Mushroom Melt,FOOD,
Snacks,Ready to Munch,The Ultimate  Sweet Crunchy Nut Mix,RETAIL,
All Day Breakfast,All Day Breakfast,The Islander Veg Breakfast Plate,FOOD,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Chicken,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Scrambled),FOOD,
All Day Breakfast,All Day Breakfast,Islander Masala Omelette,FOOD,
All Day Breakfast,Toasties,Islander Mexi-Bean Toast,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes - Nutella,FOOD,
Desserts,Desserts,French Butter Croissant(1),FOOD,
Snacks,Ready to Munch,Chocolate Almond,RETAIL,
Main Course,Sandwiches,Chilli Cheese Brioche Melt,FOOD,
Sides,Sides,K-Spice Chicken Bites,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Omelette),FOOD,
Main Course,Sandwiches,Pomodoro Meatball Melt,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast - Nutella,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs - Your Way (Fried Eggs),FOOD,
Merch,Sipper,Islander Red Sipper,RETAIL,
Main Course,Sandwiches,Paprika Chicken Melt,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes - Berry,FOOD,
Sides,Sides,K-Spice Paneer Bites,FOOD,
Main Course,Sandwiches,Italian Caprese,FOOD,
Merch,Hoodie,Islander Vibes Hoodie (Small),RETAIL,
Snacks,Ready to Munch,Masala Cashew,RETAIL,
Main Course,Sandwiches,Ham & Cheese Brioche Melt,FOOD,
Main Course,Sandwiches,Roasted Tomato & Bocconcini Croissant(!),FOOD,
Main Course,Rice Bowl,Asian Hot Garlic Rice Bowl - Chicken,FOOD,
Desserts,Desserts,Pistachio Croissant,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes – Berry,FOOD,
Snacks,Ready to Munch,Masala Almond,RETAIL,
Main Course,Rice Bowl,Mexican Rice Bowl – Paneer,FOOD,
Main Course,Pasta,Spaghetti Aglio Olio – Chicken,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast – Classic Maple,FOOD,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito – Egg,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes – Classic Maple,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast – Berry,FOOD,
Main Course,Pasta,Three-Cheese Mac – Vegetables,FOOD,
Desserts,Desserts,New York-Style Cheesecake – Classic Maple,FOOD,
Sides,Sides,Loaded Nachos – Veg,FOOD,
Main Course,Pasta,Italian Chicken Bolognese,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast – Nutella,FOOD,
Cold Beverages,Cold Brews,Iced Vietnamese Matcha,BEVERAGES,
Smoothies and Shakes,Smoothies and Shakes,Alphanso Mango Smoothies,BEVERAGES,
Ready To Drink,Cold Brew,Glass Water Bottle - 750 ML,BEVERAGES,
All Day Breakfast,All Day Breakfast,Islander Eggs-Your Way - Omelette,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Café Pancakes – Nutella,FOOD,
Main Course,Pasta,Spaghetti Aglio Olio - Non Veg,FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Cafe Pancakes - Classic Maple,FOOD,
Sides,Sides,Truffle Parmesan Fries,FOOD,
Main Course,Pasta,Italian Arrabbiata Penne - Non Veg,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast - Berry,FOOD,
All Day Breakfast,All Day Breakfast,Decadent French Toast - Classic Maple,FOOD,
Hot Beverages,Hot Brews,Spiced Hot Chocolate,BEVERAGES,
Main Course,Sandwiches,Roasted Tomato & Bocconcini Croissant (CIB),FOOD,
Smoothies and Shakes,Smoothies and Shakes,Berry Blast Smoothies,BEVERAGES,
All Day Breakfast,All Day Breakfast,French Butter Croissant (CIB),FOOD,
All Day Breakfast,All Day Breakfast,Fluffy Cafe Pancakes - Berry,FOOD,
Smoothies and Shakes,Smoothies and Shakes,Double Chocolate Indulgent Milkshake,BEVERAGES,
All Day Breakfast,All Day Breakfast,Fluffy Cafe Pancakes - Nutella,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs-Your Way - Fried Eggs,FOOD,
Desserts,Desserts,New York-Style Cheesecake - Berry,FOOD,
Desserts,Desserts,New York-Style Cheesecake - Classic Maple,FOOD,
Cold Beverages,Cold Brews,Iced Latte Pistachio,BEVERAGES,
Smoothies and Shakes,Smoothies and Shakes,Avocado Smoothies,BEVERAGES,
Snacks,Ready to Munch,Coffee Almond Shots,RETAIL,
Value Combos (upto 40% off),Hot Value Combos (upto 40% off),Sriracha Chicken & Avocado Wrap with Cappuccino,COMBO,
Gelato Upgrade,Gelato Upgrade,Cookie & Brownie Upgrade Gelato Single Scoop,COMBO,
Snacks,Ready to Munch,Chocolate Cashew,RETAIL,
Cold Beverages,Cold Brews,Dubai Chocolate,BEVERAGES,
Beans & Powder,Instant Coffee,Instant Coffee - Classic (30 sachet box),RETAIL,
Smoothies and Shakes,Smoothies and Shakes,Berry Burst Paradise Milkshake,BEVERAGES,
Cold Beverages,Refresh,Bobastic Passionfruit Green Tea,BEVERAGES,
ADDON,Choice of Crema,Salted Caramel Crema @0,BEVERAGES,
Emp_Bev,Emp_Bev,Americano(emp),EMP MEAL,
Gelato Upgrade,Gelato Upgrade,Gelato Double Scoop Upgrade Cookie & Brownie,COMBO,
ADDON,Choice of Milk,Regular @25,BEVERAGES,
Emp_Bev,Emp_Bev,Freddo Cappuccino(emp),EMP MEAL,
Desserts,Gelato,Dark Chocolate Single Scoop,GELATO,
Desserts,Desserts,Nolen Gur Banoffee Jar,DESSERT,
Desserts,Gelato,Belgian Chocolate Single Scoop,GELATO,
Desserts,Gelato,Mango Sorbet Single Scoop,GELATO,
ADDON,Choice of Beans,Kenya Single Estate - 0 (Default),BEVERAGES,
Cold Beverages,Food Sampling for Microsoft/Compass,Master Blend,BEVERAGES,
Cold Beverages,Food Sampling for Microsoft/Compass,Volcano Blend@54g,BEVERAGES,
Hot Beverages,Hot Brews,Cortado (Small),BEVERAGES,
Hot Beverages,Hot Brews,Macchiato (Single),BEVERAGES,
Cold Beverages,Cold Brews,Kenya Blend 36g @ 25,BEVERAGES,
Cold Beverages,Food Sampling for Microsoft/Compass,Master Blend @54g,BEVERAGES,
Main Course,Pizza,Chicken Jalapeno Melt Flatbread,FOOD,
Desserts,Desserts,New York-Style Cheesecake - Nutella,FOOD,
Sides,Sides,Cafe Nacho Trio,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs-Your Way - Scrambled Eggs,FOOD,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Paneer,FOOD,
All Day Breakfast,All Day Breakfast,Islander Eggs-Your Way - Boiled Eggs,FOOD,
Main Course,Pasta,Three-Cheese Mac - Non Veg,FOOD,
Merch,Hoodie,Islander Vibes Hoodie - Med,RETAIL,
All Day Breakfast,All Day Breakfast,Islander Breakfast Burrito - Egg,FOOD,
Smoothies and Shakes,Smoothies and Shakes,Forest Berry Iced smoothie,BEVERAGES,
Breakfast Specials CIB,Breakfast Specials CIB,Breakfast Specials @ ?299,COMBO,
Desserts,Tea Cakes,Choco Banana Tea Cake,DESSERT,
Desserts,Cheesecakes & Dessert Jars,Burnt Basque Cheesecake,DESSERT,
Desserts,Tea Cakes,Cinnamon Pistachio Tea Cake,DESSERT,
Desserts,Tea Cakes,Almond Tea Cake,DESSERT,
Gelato Upgrade,Gelato Upgrade,Cookie & Brownie Upgrade Gelato Single Scoop,COMBO,
Cold Beverages,Cold Brews,Bobastic Iced Apple Mint Green Tea,BEVERAGES,
ADDON,Choice of Extra Shot - 50,Extra Shot - Kenya Single Estate,BEVERAGES,
Desserts,Cheesecakes & Dessert Jars,Chocolate Mousse Jar,DESSERT,
Desserts,Cheesecakes & Dessert Jars,Biscoff Cheesecake Jar,DESSERT,
All Day Breakfast,All Day Breakfast,Pancakes - Nutella (Pure Jain),FOOD,
Main Course,Sandwiches,Chilli Cheese Melt Brioche (Pure Jain),FOOD,
Breakfast Specials CIB,Breakfast Specials CIB,Breakfast Specials @ 299,COMBO,
Sides,Sides,Classic French Fries (Pure Jain),FOOD,
All Day Breakfast,All Day Breakfast,French Butter Croissant (Pure Jain),FOOD,
Desserts,Desserts,Chocolate Fudge Brownie (Pure Jain),FOOD,
All Day Breakfast,All Day Breakfast,Pancakes - Classic Maple (Pure Jain),FOOD,
Desserts,Desserts,The Walnut Date Teacake (Pure Jain),FOOD,
All Day Breakfast,All Day Breakfast,Pancakes - Berry (Pure Jain),FOOD,
Emp_Bev,Emp_Bev,Freddo Espresso Ristretto(emp),EMP MEAL,
All Day Breakfast,All Day Breakfast,The Islander Veg Breakfast (Pure Jain),FOOD,
All Day Breakfast,Toasties,Avo Bro Toast (Pure Jain),FOOD,
Main Course,Pasta,Mac & Cheese (Pure Jain),FOOD,
All Day Meal,All Day Meal,French Butter Croissant & Cappuccino,COMBO,
All Day Meal,All Day Meal,Choco Fudge Delight & Cappuccino,COMBO,
All Day Meal,All Day Meal,French Butter Croissant & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Choco Fudge Delight & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Korean Garlic Mushroom Puff & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Belgian Chocolate Fudge Brownie & Cappuccino,COMBO,
All Day Meal,All Day Meal,French Butter Croissant & Americano,COMBO,
All Day Meal,All Day Meal,French Butter Croissant & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Belgian Chocolate fudge brownie & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Korean Garlic Mushroom Puff & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Korean Garlic Mushroom Puff & Cappuccino,COMBO,
All Day Meal,All Day Meal,Choco Fudge Delight & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Korean Garlic Mushroom Puff & Americano,COMBO,
All Day Meal,All Day Meal,Belgian Chocolate fudge brownie & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Belgian Chocolate fudge brownie & Americano,COMBO,
All Day Meal,All Day Meal,The Walnut Date Teacake & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,The Walnut Date Teacake & Cappuccino,COMBO,
Sides,Sides,Nachos Trio (Pure Jain),FOOD,
Sides,Sides,Cheesy Fries (Pure Jain),FOOD,
ADDON,Choice of Milk,Regular - Milk -175g Default,BEVERAGES,
ADDON,Choice of Extra Shot - 50,Extra Shot - Volcano Blend,BEVERAGES,
Emp_Bev,Emp_Bev,Cortado(emp),EMP MEAL,
ADDON,Choice of Extra Shot - 50,Extra Shot - Ethiopia Blend,BEVERAGES,
Sides,Sides,Cheesy Bread (Pure Jain),FOOD,
All Day Meal,All Day Meal,Cheesy Garlic Bread & Cappuccino,COMBO,
All Day Meal,All Day Meal,Almond tea cake & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Cheesy Garlic Bread & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Cheesy Garlic Bread & Iced Latte Signature,COMBO,
All Day Meal,All Day Meal,Almond tea cake & Cappuccino,COMBO,
Merch,Unisex T-shirt,Unisex T-Shirt (Red) Small,RETAIL,
Quick Bites,Croissant Cookie & Muffin,Boston Cream Cruffin,FOOD,
Quick Bites,Tea Cake,Moist Marble Cake,FOOD,
Quick Bites,Donut & Éclair,Pistachio Eclair,FOOD,
Quick Bites,Bread,Chocolate Hazelnut Babka,FOOD,
Quick Bites,Croissant Cookie & Muffin,1Oats & Raisin Cookie,FOOD,
Quick Bites,Donut & Éclair,Chocolate Eclair,FOOD,
Small Plates,Sandwich,Pesto Paradise Multigrain Sandwich,FOOD,
Quick Bites,Bread,Basil & Oven Dried Tomato Pinwheel,FOOD,
Main Course,Wholesome Wrap,Peri Peri Chicken Parantha Wrap,FOOD,
Quick Bites,Filled Buns,Korean Chicken Bun,FOOD,
Quick Bites,Donut & Éclair,Choco Chip Berliner,FOOD,
Quick Bites,Pastry,1Choco Fudge Delight,FOOD,
Desserts,Gelato,Dark Chocolate SSC Sundae,GELATO,
Cold Beverages,Cold Brews,Islander Latte,BEVERAGES,
Quick Bites,Bread,Garlic & Cheese Pull Apart,FOOD,
Quick Bites,Puff & Toastie,Chipotle Vegetable Puff,FOOD,
Quick Bites,Donut & Éclair,Chocolate Donut,FOOD,
Main Course,Wholesome Wrap,Paneer Tikka Parantha Wrap,FOOD,
Quick Bites,Filled Buns,Korean Bun,FOOD,
Quick Bites,Donut & Éclair,White Chocolate & Berry Berliner,FOOD,
Small Plates,Sandwich,Chicken Tikka Multigrain Sandwich,FOOD,
Desserts,Gelato,French Vanilla Signature Sundae,GELATO,
Desserts,Gelato,French Vanilla Sundae,GELATO,
Quick Bites,Quick Bitess,Nacho & Dip,FOOD,
Quick Bites,Puff & Toastie,Harissa Chicken Puff,FOOD,
Desserts,Gelato,Belgian Chocolate Sundae,GELATO,
Quick Bites,Quick Bitess,Korean Pop - Potato,FOOD,
Quick Bites,Quick Bitess,Korean Pop - Paneer,FOOD,
Quick Bites,Croissant Cookie & Muffin,Maple Butter Croissant,FOOD,
All Day Meal,All Day Meal,The Walnut Date Teacake & Hot Latte Signature,COMBO,
All Day Meal,All Day Meal,Almond tea cake & Hot Latte Signature,COMBO,
Desserts,Gelato,Dark Chocolate SSC Signature Sundae,GELATO,
Desserts,Gelato,Mango Sorbet Sundae,GELATO,
Cold Beverages,Refresh,Valencia Orange Juice,BEVERAGES,
Cold Beverages,Iced Chocolate,Valentine Strawberry Chocolate - Cold,BEVERAGES,
Hot Beverages,Hot Chocolate,Valentine Strawberry Chocolate - Hot,BEVERAGES,
