Store ID,Business Name,Customer Name,Rating,Comment,Reply,Reply Date,Staff Mentioned,Created Date,Updated Date,Review ID,Source File
location-10866130483095140789,Coffee Island | AMANORA,Akash Kapadne.,FIVE,Nice coffee at cafe,Thank you! We're so happy you had a great coffee experience. Can’t wait to have you back - there’s always more to discover!,12-03-2026,Nice,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/10866130483095140789/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tkRFZTMDJiVzV3ZEUxTmNFcE1NRXN0YzA1eFIzYxAB,reviews.json
location-11190650758391428831,Coffee Island | Phoenix Marketcity | Kurla,Shireen Shaikh,FIVE,Best service best staff specially Zoya,,,"Best, Zoya",12-03-2026,12-03-2026,accounts/100486096577551952970/locations/11190650758391428831/reviews/Ci9DQUlRQUNvZENodHljRjlvT2kxWk0wRnFaVkpuTTJZMmRGSjJhMVIxTWtWa1IxRRAB,reviews.json
location-11190650758391428831,Coffee Island | Phoenix Marketcity | Kurla,Rehan Shaikh,FIVE,Very nice coffee and staff...,,,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/11190650758391428831/reviews/Ci9DQUlRQUNvZENodHljRjlvT21aQlJFZGxlbUl4VW1sUldrNVZUbFpTYjBsNFFYYxAB,reviews.json
location-11190650758391428831,Coffee Island | Phoenix Marketcity | Kurla,Abidur Laskar,FIVE,"I had a wonderful experience here. The coffee was fresh and delicious, and the ambiance was very comfortable. The staff were polite and welcoming. Definitely one of the best coffee spots to relax and spend time.",,,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/11190650758391428831/reviews/Ci9DQUlRQUNvZENodHljRjlvT25GbWNXRk5UMDg1Y1hGcWNFdFlaalpQZWpCQ1RFRRAB,reviews.json
location-11190650758391428831,Coffee Island | Phoenix Marketcity | Kurla,Mohd. Noman Khan,FIVE,Nice place 😃 loved their coffee so much,,,Nice,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/11190650758391428831/reviews/Ci9DQUlRQUNvZENodHljRjlvT25GTlowODRaemxGWjJsblQxTlZVMUpLTFVaNFlWRRAB,reviews.json
location-11190650758391428831,Coffee Island | Phoenix Marketcity | Kurla,Khan M. Noman,FIVE,"There are many coffee shops but I have never tried this much of tasty coffee anywhere this is not just a coffee it's a addiction for me I'm the regular costumer of coffee island, I also visited their churchgate outlate. Must going place for hangout, party and celebration. Staff is also very friendly and always welcome with a warm smile. Highly recommend",,,"Highly, Must, There",12-03-2026,12-03-2026,accounts/100486096577551952970/locations/11190650758391428831/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tWSVdYVm1iRFF3ZEhWWWJuUjRTVGhpVkZkMlNXYxAB,reviews.json
location-15767443270777125242,Coffee Island | HQ27,Jasnam Kaur,FOUR,,Happy to know you enjoyed your time with us. We look forward to welcoming you again soon.,12-03-2026,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/15767443270777125242/reviews/Ci9DQUlRQUNvZENodHljRjlvT2prNVV6UnVNR2R6UWxCYWNrUjNPWGxUWTFKWExVRRAB,reviews.json
location-3281804826075053736,Coffee Island | AIPL,Kartik Yadav,FIVE,Nice coffee,Thank you! We're so happy you had a great coffee experience. Can’t wait to have you back - there’s always more to discover!,12-03-2026,Nice,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/3281804826075053736/reviews/Ci9DQUlRQUNvZENodHljRjlvT25Sd1RqTmZXV2xUVjFneE9VMWtlV2hqYlU1RGJHYxAB,reviews.json
location-6119222168702984294,Coffee Island | Eros Cinema Churchgate,yashika Kothari,FIVE,"Really amazing cafe the vibe is really good , must try✨",So glad you loved the vibe! ✨ It’s great to hear you had a wonderful time with us. Looking forward to welcoming you back for more coffee and good moments soon. ☕,12-03-2026,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/6119222168702984294/reviews/Ci9DQUlRQUNvZENodHljRjlvT2s1dmVIQXRiRU5tTm5CemFUZEpka0pJU0dJMVJXYxAB,reviews.json
location-6119222168702984294,Coffee Island | Eros Cinema Churchgate,Tia Damania,FIVE,Very nice food with a great ambiance,So glad you enjoyed the food and the ambience! We look forward to welcoming you back soon for more great coffee and bites. ☕✨,12-03-2026,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/6119222168702984294/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xkR1pqbE1hWGhrYzFOeldXUjRTelJWY0hORVJGRRAB,reviews.json
location-6119222168702984294,Coffee Island | Eros Cinema Churchgate,Ayaana Gupta,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,12-03-2026,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/6119222168702984294/reviews/Ci9DQUlRQUNvZENodHljRjlvT21wWlVqUnNiRE5PVVZKbmFtUjFiVmRDUVVKV1NuYxAB,reviews.json
location-6119222168702984294,Coffee Island | Eros Cinema Churchgate,Raj Sharma,FIVE,,Thanks a latte for the 5 stars! Your support keeps us brewing our best every day.,12-03-2026,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/6119222168702984294/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tGTlRVZ3RWVFJEVjBWcFVtczRiR3RuUTFWeU0xRRAB,reviews.json
location-7132653567992557892,Coffee Island Beyond | R City,Silvester Jacob,FIVE,,,,,05-03-2026,05-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2w5dldETXRSRFEwU1RKNGFteHZaa3RVYm5GMVFrRRAB,reviews-ABHRLXVMO3Z-eYwueHBquEiCofnWqSQxaHOJyX.json
location-7132653567992557892,Coffee Island Beyond | R City,Nidhi Chauhan Rathod,FIVE,Its a really cool place to visit with fresh options available in drinks and food,,,,03-03-2026,03-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2poSGRHWnlUVUUzTlhWMFYya3pTVXBsVEZoUmJYYxAB,reviews-ABHRLXVMO3Z-eYwueHBquEiCofnWqSQxaHOJyX.json
location-7132653567992557892,Coffee Island Beyond | R City,Sheetal Kuril,FIVE,"Good food,Good Beverages,Good Service",,,"Good Beverages, Good Service",01-03-2026,01-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT210elRVMHhka05IVjA0NFJVVkNaR3ByU2xGWlNXYxAB,reviews-ABHRLXVMO3Z-eYwueHBquEiCofnWqSQxaHOJyX.json
location-7132653567992557892,Coffee Island Beyond | R City,Shaswati Changmai,FIVE,,,,,28-02-2026,28-02-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2tOSmExWk9iRGxJTWxkTVdHSmpNVVp4YjB0U1ZYYxAB,reviews-ABHRLXVMO3Z-eYwueHBquEiCofnWqSQxaHOJyX.json
location-7132653567992557892,Coffee Island Beyond | R City,Simanti Banerjee,FIVE,,,,,28-02-2026,28-02-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pWdmJqRlNXazV0TFdSeFlsRm5kMlJrWVdZNFVVRRAB,reviews-ABHRLXWC_XVvkUy4qm-TYXRIN1_cQJ6LUomjnb.json
location-7132653567992557892,Coffee Island Beyond | R City,Prasad Rane,FIVE,,,,,12-03-2026,12-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2pWdGFGQjRha2hrVTJjMlRIVkhlbTVWUVZoTE9VRRAB,reviews.json
location-7132653567992557892,Coffee Island Beyond | R City,Palm Village CHS,FIVE,Best coffee I had. I have been here four times in last one week. Thanks for best service to Ritika,,,"Best, Ritika",12-03-2026,12-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xjNVZDMHpZV3huTkhGdlR6VnllbkZrTkVSbGVVRRAB,reviews.json
location-7132653567992557892,Coffee Island Beyond | R City,Amiksha Joshi,FIVE,Amazing service. Tasty food. Great ambience.,,,Tasty,05-03-2026,05-03-2026,accounts/100486096577551952970/locations/7132653567992557892/reviews/Ci9DQUlRQUNvZENodHljRjlvT2xOR2VtZHljR3Q1TmxsMk5HRktObTlmZW05ck9VRRAB,reviews.json
