Warehouse,Category Name,Item Name,UOM,Opening Stock,Opening Date
Warehouse NCR,BOH BEVERAGE EQUIPMENT,Soda Maker M/C Black With 500ml Pet Bottle,PCS,4,01-05-2025
Warehouse NCR,BOH DEAD FABRICATION EQUIPMENT,SS TABLE TOP DEEP FAT FRYER 6L,PCS,4,01-05-2025
Warehouse NCR,BOH OTHER EQUIPMENT,GM CO2 Cylinder Cartridge,PCS,4,01-05-2025
Warehouse NCR,BOTTLED WATER,GM Sprite Can 300ML,CASE(24PC) NEW,,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Degreaser,PCS,6.5,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Kay AMH Handwash Plus,PCS,5.5,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,KAY Delimer,PCS,48,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - LIQUID,Kay QSR Heavy Duty Multipurpose Sink Detergent,PCS,363,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Ecolab Quik Care N70 E,PCS,126,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Kay 5 Sanitiser/ Cleaner,PCS,206,01-05-2025
Warehouse NCR,CLEANING CHEMICALS - POWDERS,Kay Bio Shield Drain Treatment,PCS,6,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 04Oz,UNITS(6PCS),166,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 08Oz,UNITS(6PCS),280,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 08Oz,UNITS(6PCS),196,01-05-2025
Warehouse NCR,CROCKERY,Cup And Saucer Set - 12Oz,UNITS(6PCS),459,01-05-2025
Warehouse NCR,CROCKERY,Dinner Plate,UNITS(6PCS),308,01-05-2025
Warehouse NCR,CROCKERY,Dip Bowl,UNITS(6PCS),77,01-05-2025
Warehouse NCR,CROCKERY,Dip Bowl,UNITS(6PCS),56,01-05-2025
Warehouse NCR,CROCKERY,Pasta Bowl,UNITS(6PCS),369,01-05-2025
Warehouse NCR,CROCKERY,Salad Plate,UNITS(6PCS),317,01-05-2025
Warehouse NCR,CUTLERY,Demitasse Spoon,UNITS(6PCS),239,01-05-2025
Warehouse NCR,CUTLERY,Dinner Fork,UNITS(6PCS),358,01-05-2025
Warehouse NCR,CUTLERY,Dinner Fork,UNITS(6PCS),244,01-05-2025
Warehouse NCR,CUTLERY,Dinner Knife,UNITS(6PCS),233,01-05-2025
Warehouse NCR,CUTLERY,Dinner Knife,UNITS(6PCS),143,01-05-2025
Warehouse NCR,CUTLERY,Dinner Spoon,UNITS(6PCS),355,01-05-2025
Warehouse NCR,CUTLERY,Dinner Spoon,UNITS(6PCS),241,01-05-2025
Warehouse NCR,CUTLERY,Tea Spoon,UNITS(6PCS),440,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - CUTLERY POUCH,Disposable - Cutlery Sleeve,PKT(100PC),6500,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - WOODEN SPOON,GM Wooden Chopstick,PCS,3095,01-05-2025
Warehouse NCR,DISPOSABLE CUTLERY - WOODEN SPOON,Wooden Dessert Spoon 110 Mm,PKT(100PC),19600,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Large - Ci,PKT(25PC),9600,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Medium - Ci,PKT(25PC),11500,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CARRY BAG,Yellow Carry Bag Small - Ci,PKT(25PC),10400,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - CUP HOLDER,Disposable - Cup Holder,PKT(25PC),5211,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,Coffee Island Bag Sealing Sticker,PCS,0,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,GM Sealing Sticker 100/40mm,PCS,8224,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - ACCESSORIES - STICKERS,GM V/NV Sticker 10/10mm,PCS,13033,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - Bottles & Cans,100 ML Glass Bottle with Cork for Drip Coffee,PCS,30,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUP SEALING FOIL,Disposable - Sealing Foil,BUNCH(500PC),10395,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 08Oz,PKT(25PC),32940,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 12Oz,PKT(25PC),31135,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Disposable - Paper Cup 16Oz,PKT(25PC),35502,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,GM Plastic Glass 350ml With Pink Lid,PCS,10786,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - CUPS,Plastic Transparent Bowl,PKT(25PC),3720,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Bagasse Lid 80 Mm,PCS,,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Disposable - Lid (Cold) 12Oz - Dome,PKT(100PC),31010,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Disposable - Lid (Hot) 08Oz,PKT(100PC),5500,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - LIDS,Disposable - Lid (Hot) 12Oz,PKT(100PC),28789,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - STRAW,Disposable - Straw - 10Mm,PKT(100PC),,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - STRAW,Disposable - Straw - 12Mm,PKT(100PC),8505,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,Disposable - Stirrer,PCS,36000,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BEVERAGES - WOODEN STIRRER,Disposable - Stirrer,PCS,47600,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - BUTTER WRAPPING SHEETS,Food Wrapping Paper - Ci,PKT(100PC),40130,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - FOOD - FOOD BOX,Disposable - Paper Bowl (1000Ml),PKT (65PC),17130,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - FOOD - FOOD BOX,Gelato Take Away Container 250 Ml With Lid,BOX(250PC),1219,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - FOOD - FOOD BOX,GM 1000 Ml Bowl,PCS,17562,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - FOOD - FOOD BOX,GM 1000 Ml bowl Lid,PCS,8409,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - FOOD - FOOD BOX,Lid For 1000 Ml Container,PKT (65PC),7430,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - KITCHEN ROLL,Kitchen Roll 1 Kg,BOX(12PC),171,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - TISSUE PAPER,Disposable - Tissue Paper,BOX(30PKT),202850,01-05-2025
Warehouse NCR,DISPOSABLE PACKAGING - TISSUE PAPER,GM Brown Paper Napkin with GM Logo,PKT(100PC),1262.6,01-05-2025
Warehouse NCR,GLASSWARE,Crystal Tall Flow Geo Glass - Set Of 6,BOX(6PC),243,01-05-2025
Warehouse NCR,GLASSWARE,Mexicana Coupe Glass,BOX(6PC),150,01-05-2025
Warehouse NCR,GLASSWARE,Striped Tall Glass - Set Of 6,BOX(6PC),257,01-05-2025
Warehouse NCR,INSTANT COFFEE - DRY,Pourover Assorted Box Of 5 Sachets,PCS,,01-05-2025
Warehouse NCR,INSTANT COFFEE - DRY,Pourover Assorted Box Of 5 Sachets,PCS,,01-05-2025
Warehouse NCR,LIFESTYLE ACCESSORIES,Tote Bag,PKT(5PC),,01-05-2025
Warehouse NCR,MUGS/CUPS,Coffee Mug - Classic - Celeste - Light Green,PCS,,01-05-2025
Warehouse NCR,MUGS/CUPS,Coffee Mug - Classic - Innocent - Light Pink,PCS,,01-05-2025
Warehouse NCR,OUTLET EQUIPMENT,LG-21L Convection Microwave Oven ( MC2146BV),PCS,3,01-05-2025
Warehouse NCR,POS HARDWARE,Compact Metal Drawer - Cr 410,PCS,3,01-05-2025
Warehouse NCR,POS HARDWARE,Pos - Posiflex Ps3616,PCS,3,01-05-2025
Warehouse NCR,POS HARDWARE,Pos Printer Rp 80 V1 Rugtek,PCS,3,01-05-2025
Warehouse NCR,POS HARDWARE,Windows 10 License 2019,PCS,,01-05-2025
Warehouse NCR,RM BEVERAGES - BEANS,Beans - Ethiopian Blend,KG,39,01-05-2025
Warehouse NCR,RM BEVERAGES - BEANS,Beans - Ethiopian Single Estate,KG,34,01-05-2025
Warehouse NCR,RM BEVERAGES - BEANS,Beans - Kenya Blend,KG,19.5,01-05-2025
Warehouse NCR,RM BEVERAGES - BEANS,Beans - Kenya Single Estate,KG,59,01-05-2025
Warehouse NCR,RM BEVERAGES - BEANS,Beans - Master Blend,KG,46.5,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Chocolate Powder - 0% Sugar,JAR(20KG),,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Chocolate Powder - Hazelnut,JAR(20KG),58.5,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Chocolate Powder - Hot,PKT(100GM),385,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Chocolate Powder - Strawberry,JAR(20KG),16,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Coffee Powder - Coffeeccino,JAR(20KG),80,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Iced Tea Powder - Classic Lemon,JAR(20KG),21,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Iced Tea Powder - Green Apple,JAR(20KG),29,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,J1 Matcha Powder,PCS(20GM),405,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Milkshake Powder - Chocolate,JAR(20KG),90,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Milkshake Powder - Strawberry,JAR(20KG),94.5,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Refresh Tea - Mango,JAR(20KG),27.5,01-05-2025
Warehouse NCR,RM BEVERAGES - POWDERS,Refresh Tea - Peach,JAR(20KG),20,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,GM Kala Khatta Syrup 750ML,BTL(750ML,6,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,GM Peach Garden Syrup 750ML,BTL(1LTR),,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,Kala Khatta Syrup,BTL(750ML/983GM),6,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,Nimbu Masala Syrup,BTL(750ML/983GM),9,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,Orange syrup,BTL(500ML/560GM),6,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,Spicy Mango Syrup,BTL(750ML/983GM),5,01-05-2025
Warehouse NCR,RM BEVERAGES - SYRUP/SAUCE,Strawberry Syrup 750 Ml,BTL(750ML/983GM),4,01-05-2025
Warehouse NCR,RM FOOD - VEG INGREDIENTS,Sunflower Refined Oil,CASE(16LTR),21,01-05-2025
Warehouse NCR,RTD CARBONATED SOFT DRINK,GM Coke Can 300ML,CASE(24PC) NEW,,01-05-2025
Warehouse NCR,RTD CARBONATED SOFT DRINK,GM Diet Coke 300ML,CASE(24PC) NEW,,01-05-2025
Warehouse NCR,RTD COLD BREW - BOTTLE/CAN,Cold Brew - Cinnamon,CASE(24PC) N.A.,109,01-05-2025
Warehouse NCR,RTD COLD BREW - BOTTLE/CAN,Cold Brew - French Vanilla,CASE(24PC) N.A.,95,01-05-2025
Warehouse NCR,RTD COLD COFFEE - BOTTLE/CAN,Cold Coffee Can - Irish,CASE(48CAN),,01-05-2025
Warehouse NCR,RTD COLD COFFEE - BOTTLE/CAN,Cold Coffee Can - Irish,CASE(48CAN),,01-05-2025
Warehouse NCR,RTD COLD COFFEE - BOTTLE/CAN,Cold Coffee Can - Vietnamese,CASE(48CAN),,01-05-2025
Warehouse NCR,RTD COLD COFFEE - BOTTLE/CAN,Cold Coffee Can - Vietnamese,CASE(48CAN),,01-05-2025
Warehouse NCR,RTD ICE TEAS - BOTTLE/CAN,Ice Tea - Lavender,CASE(24PC) N.A.,65,01-05-2025
Warehouse NCR,RTD ICE TEAS - BOTTLE/CAN,Ice Tea - Peach,CASE(24PC) N.A.,45,01-05-2025
Warehouse NCR,RTE - SNACKS,Chocolate Almond - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Chocolate Cashew - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Coffee Almond Shots - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Hazelnut Chocolate Shots - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Masala Almond - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Masala Almond - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Masala Cashew - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,Masala Cashew - 40 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,The Ultimate Sweet Crunchy Nut Mix - 70 Gms,PCS,,01-05-2025
Warehouse NCR,RTE - SNACKS,The Ultimate Trail Mix - 70 Gms,PCS,,01-05-2025
Warehouse NCR,SIPPERS/BOTTLES,Sipper - Biggest White With Steel Rim,PCS,,01-05-2025
Warehouse NCR,SIPPERS/BOTTLES,Sipper - Cylindrical Long White,PCS,,01-05-2025
Warehouse NCR,SIPPERS/BOTTLES,Sipper - Glass With Grey Sleeve,PCS,,01-05-2025
Warehouse NCR,SIPPERS/BOTTLES,Sipper Glass - 350 Ml - Celeste -Light Green,PCS,,01-05-2025
Warehouse NCR,SIPPERS/BOTTLES,Water Bottle - Ebony - Black,PCS,,01-05-2025
Warehouse NCR,SMALLWARE,Chopping Board - Green (Thin),PCS,2,01-05-2025
Warehouse NCR,SMALLWARE,Chopping Board - Red (Thin),PCS,4,01-05-2025
Warehouse NCR,SMALLWARE,SS Handle Non Stick Pan - Black Diamond 26 Cm,PCS,6,01-05-2025
Warehouse NCR,STATIONARY,Kot Roll - 30Mtr,BOX(25PCS),106,01-05-2025
Warehouse NCR,STATIONARY,Scissor Blue,PCS,3,01-05-2025
Warehouse NCR,STATIONARY,Scissor Red,PCS,3,01-05-2025
Warehouse NCR,UNIFORM - APRON,Apron With Ci Logo,PCS,63,01-05-2025
Warehouse NCR,UNIFORM - APRON,Apron With Ci Logo,PCS,46,01-05-2025
Warehouse NCR,UNIFORM - APRON,Apron With Gimme Mo Logo,PCS,79,01-05-2025
Warehouse NCR,UNIFORM - CAP/HEAD GEARS,Team Member Ci Cap - Blue,PCS,65,01-05-2025
Warehouse NCR,UNIFORM - CAP/HEAD GEARS,Team Member Ci Cap - Blue,PCS,37,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - Large,PCS,19,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - Medium,PCS,62,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - Medium,PCS,18,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - Small,PCS,13,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - XL,PCS,12,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Ci Logo - XXL,PCS,11,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Gimme Mo Logo (Size - L),PCS,51,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Polo T-Shirt With Gimme Mo Logo (Size - M),PCS,49,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour CI- Mens Large,PCS,17,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour CI- Mens Medium,PCS,14,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour CI- Mens Medium,PCS,19,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour CI- Mens Small,PCS,12,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour CI- Mens XL,PCS,10,01-05-2025
Warehouse NCR,UNIFORM - SHIRT/T SHIRT,Royal Blue Shirt F/S With Chinese Colour Ci- Womens Large,PCS,0,01-05-2025
